rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801CB24,7,7,CB405,,7/24/2021 10:13:45,,7/24/2021 10:13:45,CORE
2121HS02,2,2,HS713,,3/22/2021 17:11:39,,3/22/2021 17:11:39,CREDIT
2121HS02,2,2,HS725,,3/22/2021 17:11:39,,3/22/2021 17:11:39,CREDIT
2121EE02,2,2,EE570,,3/25/2021 22:51:54,,3/25/2021 22:51:54,CREDIT
2121EE02,2,2,CS564,,3/25/2021 22:51:54,,3/25/2021 22:51:54,CREDIT
2121EE01,2,2,EE512,,3/25/2021 23:29:15,,3/25/2021 23:29:15,CREDIT
2012MA06,3,3,MA521,,3/22/2021 14:00:54,,3/22/2021 14:00:54,CORE
1801CB14,7,7,CB407,,7/23/2021 11:19:41,,7/23/2021 11:19:41,CORE
2012CH22,3,3,CH527,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH21,3,3,CH591,,3/23/2021 22:22:05,,3/23/2021 22:22:05,CORE
2012CH19,3,3,CH605,,3/23/2021 10:22:41,,3/23/2021 10:22:41,Elective - I
2012CH17,3,3,CH605,,3/24/2021 22:02:27,,3/24/2021 22:02:27,Elective - I
2012CH16,3,3,CH605,,3/25/2021 10:26:52,,3/25/2021 10:26:52,Elective - I
2012CH14,3,3,CH605,,3/25/2021 10:01:52,,3/25/2021 10:01:52,Elective - I
2012CH12,3,3,CH591,,3/25/2021 21:20:29,,3/25/2021 21:20:29,CORE
2012CH11,3,3,CH591,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
2012CH10,3,3,CH591,,3/24/2021 22:19:33,,3/24/2021 22:19:33,CORE
2012CH09,3,3,CH591,,3/23/2021 10:12:01,,3/23/2021 10:12:01,CORE
2012CH08,3,3,CH527,,3/23/2021 10:12:37,,3/23/2021 10:12:37,CORE
1801CB09,7,7,CB407,,7/23/2021 21:51:55,,7/23/2021 21:51:55,CORE
2012CH06,3,3,CH521,,3/24/2021 22:10:36,,3/24/2021 22:10:36,CORE
2012CH02,3,3,CH591,,3/25/2021 21:47:15,,3/25/2021 21:47:15,CORE
2011MT15,3,3,MH603,,3/24/2021 14:39:04,,3/24/2021 14:39:04,CORE
2011MM04,3,3,MM603,,3/24/2021 10:07:35,,3/24/2021 10:07:35,CORE
2011MC08,3,3,MA603,,3/22/2021 20:27:40,,3/22/2021 20:27:40,CORE
2011EE29,3,3,EE518,,3/23/2021 23:45:49,,3/23/2021 23:45:49,CORE
2011EE15,3,3,EE595,,3/25/2021 12:19:48,,3/25/2021 12:19:48,CORE
2121CE16,2,2,CS575,,3/24/2021 11:11:47,,3/24/2021 11:11:47,CREDIT
2121CB11,2,2,CB501,,3/23/2021 21:42:09,,3/23/2021 21:42:09,CREDIT
2012PH24,3,3,PH525,,3/25/2021 10:07:25,,3/25/2021 10:07:25,CORE
2012PH20,3,3,PH525,,3/25/2021 11:02:34,,3/25/2021 11:02:34,CORE
